Date,Entry Time,Exit Time,Ticker,Direction,Contracts,Entry Price,Exit Price,Setup,Entry/Exit,Emotion
2023-01-04,9:54 AM,10:30 AM,MGC,Long,3,4.69,4.92,Zone,As Planned,Greed
2023-01-20,11:55 AM,12:29 PM,NQ,Short,2,17.36,17.12,Crusher,As Planned,By The Rules
2023-01-20,1:50 PM,2:34 PM,MGC,Long,3,8.14,8.67,TF,As Planned,By The Rules
2023-01-22,2:04 PM,2:33 PM,MGC,Long,4,7.91,9.11,TC,As Planned,By The Rules
2023-01-23,12:16 PM,12:38 PM,MCL,Long,2,16.44,18.00,Other,As Planned,FOMO
2023-02-01,11:57 AM,12:41 PM,CL,Short,1,15.23,14.87,REV,As Planned,Bored
2023-02-01,2:25 PM,2:57 PM,MGC,Long,5,1.84,2.13,Crusher,As Planned,FOMO
2023-02-03,12:29 PM,12:39 PM,NQ,Long,2,25.05,26.97,REV,As Planned,By The Rules
2023-02-21,2:36 PM,3:16 PM,GC,Long,4,26.11,27.00,DDV,As Planned,By The Rules
2023-03-02,10:08 AM,10:33 AM,MNQ,Long,7,14.88,15.69,Crusher,Stop to tight,By The Rules
2023-03-07,9:03 AM,9:29 AM,ES,Long,2,18.78,17.91,TF,As Planned,By The Rules
2023-03-09,11:20 AM,11:55 AM,MCL,Long,2,7.94,7.57,IFN,As Planned,By The Rules
2023-03-10,2:34 PM,3:15 PM,YM,Short,2,18.75,19.20,REV,Too Late,Distracted
2023-03-24,10:50 AM,11:19 AM,MES,Short,9,21.89,17.70,TC,As Planned,By The Rules
2023-03-31,10:30 AM,10:58 AM,GC,Short,1,5.54,4.58,Sniper,First 30 min,Distracted
2023-04-01,3:59 PM,4:15 PM,MES,Short,1,26.33,24.85,REV,As Planned,FOMO
2023-04-08,3:47 PM,4:20 PM,MYM,Short,6,23.20,20.85,Other,As Planned,By The Rules
2023-04-12,10:06 AM,10:26 AM,MGC,Long,3,6.57,6.78,TF,As Planned,FOMO
2023-04-22,3:54 PM,4:32 PM,MGC,Long,5,10.59,12.00,Zone,As Planned,By The Rules
2023-04-25,12:44 PM,1:15 PM,MYM,Short,2,13.73,11.79,Crusher,As Planned,By The Rules
2023-04-26,2:32 PM,3:04 PM,MCL,Long,3,19.13,20.00,Tug Of War,As Planned,Fear
2023-05-01,9:23 AM,9:59 AM,MGC,Short,2,6.61,6.46,HY,As Planned,By The Rules
2023-05-05,11:23 AM,11:33 AM,MCL,Short,4,28.80,28.99,TC,As Planned,By The Rules
2023-05-08,9:22 AM,9:55 AM,MES,Long,2,7.10,8.00,TF,As Planned,By The Rules
2023-05-13,3:48 PM,4:02 PM,MNQ,Short,5,2.71,2.56,DDV,Stop to tight,Fear
2023-05-20,1:53 PM,2:32 PM,YM,Short,9,27.85,28.16,REV,As Planned,Tired
2023-05-31,2:59 PM,3:39 PM,ES,Short,4,10.60,9.38,DDV,As Planned,By The Rules
2023-06-09,11:20 AM,11:55 AM,MGC,Short,4,6.38,6.62,REV,As Planned,By The Rules
2023-06-19,1:42 PM,1:54 PM,MNQ,Long,2,19.30,21.00,TC,As Planned,Bored
2023-06-22,2:21 PM,3:04 PM,GC,Short,8,26.06,25.30,REV,As Planned,By The Rules
2023-06-23,3:18 PM,3:36 PM,CL,Long,2,23.98,24.00,Zone,As Planned,By The Rules
2023-07-03,10:16 AM,10:52 AM,MGC,Short,6,11.05,10.00,IFN,As Planned,By The Rules
2023-07-14,12:12 PM,12:41 PM,MGC,Long,10,11.21,12.00,Other,As Planned,By The Rules
2023-07-23,11:59 AM,12:14 PM,MYM,Long,1,7.32,6.55,TF,Too Late,By The Rules
2023-08-03,11:05 AM,11:19 AM,MES,Long,6,9.76,10.56,DDV,As Planned,Hope
2023-08-07,9:26 AM,9:39 AM,ES,Long,3,24.23,28.00,Sniper,Too Late,By The Rules
2023-08-21,9:09 AM,9:25 AM,YM,Short,7,5.86,5.98,TC,As Planned,By The Rules
2023-08-23,10:00 AM,10:14 AM,MYM,Long,6,12.07,9.70,Tug Of War,Too Late,By The Rules
2023-08-25,1:06 PM,1:19 PM,NQ,Long,3,18.79,19.50,Crusher,Stop to tight,By The Rules
